,stock,10Y_mean_logret
0,ADANIENT,0.0017460104171784156
1,ADANIPORTS,0.0006369337279522635
2,APOLLOHOSP,0.0006707003794491394
3,ASIANPAINT,-0.00013102996953031796
4,AXISBANK,-0.00010094498697611179
5,BAJAJ-AUTO,0.00037644977927903177
6,BAJAJFINSV,0.00036057284738607367
7,BAJFINANCE,0.0006565743163654488
8,BHARTIARTL,0.00042053371585830726
9,BPCL,3.144536205512519e-05
10,BRITANNIA,0.0008233871513113311
11,CIPLA,0.0003919843686109498
12,COALINDIA,-0.00010992518198369666
13,DIVISLAB,0.0005233050322583296
14,DRREDDY,0.0003367124346618089
15,EICHERMOT,-6.129965720899984e-06
16,GRASIM,-0.0001835777621697661
17,HCLTECH,0.00017980436306204995
18,HDFC,0.0004724190135571271
19,HDFCBANK,0.0003776204027847446
20,HDFCLIFE,0.00044473199641618526
21,HEROMOTOCO,0.00021864781889467197
22,HINDALCO,0.0006106378035997459
23,HINDUNILVR,0.0006070277880125161
24,ICICIBANK,-5.4115341184646656e-05
25,INDUSINDBK,0.0004133268171923255
26,INFY,-0.0002414859733557576
27,ITC,0.00013662501328951985
28,JSWSTEEL,5.5296930556654486e-05
29,KOTAKBANK,0.00037799870044040847
30,LT,0.00021568503274166682
31,MARUTI,0.0007268820545578916
32,M_M,0.00016301059164015004
33,NESTLEIND,0.0006107836600599624
34,NTPC,0.00010885263766595394
35,ONGC,-0.00026976732401929075
36,POWERGRID,0.0003381888820417832
37,RELIANCE,0.00046808382555013704
38,SBILIFE,0.00042288664999237376
39,SBIN,-0.0004997341527146865
40,SUNPHARMA,1.0020973545466854e-05
41,TATACONSUM,0.0007404671047737679
42,TATAMOTORS,0.00016301059164015004
43,TATASTEEL,-0.000352879861160834
44,TCS,0.0003308651284884955
45,TECHM,5.171355001323437e-05
46,TITAN,0.0010423610323725635
47,ULTRACEMCO,0.0006091525669624031
48,UPL,0.0006485499444473736
49,WIPRO,4.556010008351663e-05
