,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,20-Jun-2023,EQ,"3,585.00","3,586.50","3,533.05","3,584.75","3,558.40","3,566.20","3,559.89","3,973.90","2,730.00","267,277","951,477,617.15","24,716"
1,19-Jun-2023,EQ,"3,581.85","3,624.00","3,572.45","3,579.60","3,585.95","3,584.75","3,598.65","3,973.90","2,730.00","299,174","1,076,623,791.30","23,765"
2,16-Jun-2023,EQ,"3,603.05","3,633.10","3,570.00","3,581.05","3,575.00","3,579.60","3,601.24","3,973.90","2,730.00","633,543","2,281,538,116.35","49,392"
3,15-Jun-2023,EQ,"3,499.95","3,591.00","3,487.35","3,485.95","3,578.00","3,581.05","3,568.46","3,973.90","2,730.00","955,066","3,408,118,863.50","63,062"
4,14-Jun-2023,EQ,"3,495.00","3,507.40","3,462.05","3,487.70","3,486.00","3,485.95","3,481.24","3,973.90","2,730.00","208,081","724,379,309.75","23,138"
5,13-Jun-2023,EQ,"3,438.45","3,493.95","3,435.00","3,438.45","3,487.05","3,487.70","3,476.72","3,973.90","2,730.00","367,056","1,276,151,462.10","27,941"
6,12-Jun-2023,EQ,"3,309.00","3,467.45","3,308.95","3,428.75","3,438.00","3,438.45","3,416.72","3,973.90","2,730.00","799,646","2,732,169,105.05","63,745"
7,09-Jun-2023,EQ,"3,481.05","3,498.95","3,420.00","3,499.70","3,429.80","3,428.75","3,451.45","3,973.90","2,730.00","325,701","1,124,142,114.60","27,716"
8,08-Jun-2023,EQ,"3,549.00","3,554.60","3,489.05","3,542.10","3,497.00","3,499.70","3,521.00","3,973.90","2,730.00","434,625","1,530,312,479.20","35,196"
9,07-Jun-2023,EQ,"3,555.00","3,570.00","3,526.00","3,537.90","3,541.70","3,542.10","3,549.58","3,973.90","2,730.00","392,590","1,393,530,370.00","28,926"
10,06-Jun-2023,EQ,"3,462.95","3,544.00","3,441.15","3,462.30","3,539.55","3,537.90","3,502.89","3,973.90","2,730.00","503,263","1,762,877,382.85","44,222"
11,05-Jun-2023,EQ,"3,517.95","3,524.75","3,455.00","3,511.60","3,466.00","3,462.30","3,470.80","3,973.90","2,730.00","633,073","2,197,270,239.45","36,681"
12,02-Jun-2023,EQ,"3,525.00","3,554.45","3,495.00","3,525.40","3,524.20","3,511.60","3,516.64","3,973.90","2,730.00","477,154","1,677,980,064.80","45,670"
13,01-Jun-2023,EQ,"3,451.55","3,562.00","3,443.60","3,443.60","3,531.40","3,525.40","3,531.80","3,973.90","2,730.00","791,714","2,796,178,820.80","60,381"
14,31-May-2023,EQ,"3,428.00","3,503.75","3,420.05","3,458.00","3,430.00","3,443.60","3,450.01","3,973.90","2,730.00","1,861,153","6,421,000,987.30","69,790"
15,30-May-2023,EQ,"3,477.00","3,477.00","3,432.00","3,477.85","3,453.70","3,458.00","3,456.00","3,973.90","2,730.00","327,381","1,131,429,405.15","28,615"
16,29-May-2023,EQ,"3,525.00","3,534.90","3,466.05","3,514.00","3,474.00","3,477.85","3,485.16","3,973.90","2,730.00","360,805","1,257,461,525.35","26,989"
17,26-May-2023,EQ,"3,435.65","3,520.00","3,425.20","3,435.65","3,503.00","3,514.00","3,491.23","4,438.80","2,730.00","829,186","2,894,879,462.50","56,360"
18,25-May-2023,EQ,"3,371.05","3,452.80","3,365.00","3,383.15","3,440.00","3,435.65","3,420.56","4,438.80","2,730.00","641,670","2,194,870,044.75","45,421"
19,24-May-2023,EQ,"3,360.00","3,407.00","3,335.90","3,385.80","3,392.00","3,383.15","3,371.66","4,438.80","2,730.00","552,635","1,863,299,555.45","41,629"
20,23-May-2023,EQ,"3,241.05","3,415.00","3,221.05","3,265.00","3,383.00","3,385.80","3,365.46","4,438.80","2,730.00","1,376,245","4,631,693,005.50","83,385"
21,22-May-2023,EQ,"3,099.95","3,271.15","3,051.00","3,098.30","3,255.10","3,265.00","3,190.31","4,438.80","2,730.00","1,538,574","4,908,522,090.80","85,549"
22,19-May-2023,EQ,"3,144.00","3,158.35","3,085.50","3,153.50","3,092.00","3,098.30","3,120.74","4,438.80","2,730.00","479,974","1,497,874,542.95","40,869"
23,18-May-2023,EQ,"3,284.00","3,284.95","3,144.00","3,268.00","3,162.00","3,153.50","3,178.13","4,438.80","2,730.00","766,236","2,435,195,108.35","61,096"
24,17-May-2023,EQ,"3,284.15","3,296.20","3,255.20","3,279.45","3,264.35","3,268.00","3,273.03","4,438.80","2,730.00","173,719","568,587,514.15","21,483"
25,16-May-2023,EQ,"3,277.95","3,332.60","3,272.05","3,276.50","3,276.00","3,279.45","3,305.72","4,438.80","2,730.00","301,995","998,311,304.35","26,770"
26,15-May-2023,EQ,"3,306.35","3,336.35","3,265.00","3,315.05","3,276.00","3,276.50","3,284.05","4,438.80","2,730.00","341,458","1,121,366,515.40","31,315"
27,12-May-2023,EQ,"3,311.00","3,354.00","3,190.00","3,329.20","3,306.35","3,315.05","3,272.39","4,438.80","2,730.00","957,967","3,134,843,354.40","73,997"
28,11-May-2023,EQ,"3,410.00","3,432.00","3,222.05","3,425.25","3,316.00","3,329.20","3,340.99","4,438.80","2,730.00","818,423","2,734,340,001.15","62,475"
29,10-May-2023,EQ,"3,400.00","3,436.00","3,349.00","3,383.20","3,418.70","3,425.25","3,399.48","4,438.80","2,730.00","494,159","1,679,883,500.30","36,101"
30,09-May-2023,EQ,"3,303.90","3,394.65","3,273.05","3,286.30","3,387.95","3,383.20","3,345.45","4,438.80","2,730.00","566,809","1,896,229,614.60","42,138"
31,08-May-2023,EQ,"3,299.00","3,311.00","3,275.00","3,290.80","3,290.00","3,286.30","3,287.31","4,438.80","2,730.00","239,343","786,795,653.00","21,893"
32,05-May-2023,EQ,"3,292.00","3,317.80","3,264.15","3,282.55","3,282.00","3,290.80","3,298.60","4,600.00","2,730.00","222,487","733,896,006.35","22,106"
